
{'out_of_rail_time': 0.35426802811651636, 'out_of_rail_velocity': np.float64(33.47764475876636), 'max_velocity': np.float64(301.21075480622767), 'apogee_time': np.float64(23.540624394101176), 'apogee_altitude': np.float64(3042.978559859092), 'apogee_x': np.float64(295.60715741887174), 'apogee_y': np.float64(164.49694238095265), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5183704315455868), 'out_of_rail_static_margin': np.float64(1.5588863889413858), 'out_of_rail_stability_margin': np.float64(1.561790301875044), 'execution_time': 4.640625}

{'out_of_rail_time': 0.3525598654088639, 'out_of_rail_velocity': np.float64(33.66921827073787), 'max_velocity': np.float64(302.7918809374009), 'apogee_time': np.float64(23.4055542030823), 'apogee_altitude': np.float64(3025.9696416024603), 'apogee_x': np.float64(257.7420144480252), 'apogee_y': np.float64(165.15211885304717), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4737460122877943), 'out_of_rail_static_margin': np.float64(1.5127282771458919), 'out_of_rail_stability_margin': np.float64(1.515791725385675), 'execution_time': 4.453125}

{'out_of_rail_time': 0.35399641653586106, 'out_of_rail_velocity': np.float64(33.506236779017634), 'max_velocity': np.float64(300.6929785373553), 'apogee_time': np.float64(23.406742753779884), 'apogee_altitude': np.float64(3017.9457817051357), 'apogee_x': np.float64(163.18426206093122), 'apogee_y': np.float64(163.63520241770297), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5888031151521165), 'out_of_rail_static_margin': np.float64(1.6306480257143197), 'out_of_rail_stability_margin': np.float64(1.633665575177044), 'execution_time': 4.28125}

{'out_of_rail_time': 0.353741437016911, 'out_of_rail_velocity': np.float64(33.5460080328108), 'max_velocity': np.float64(303.14093353118847), 'apogee_time': np.float64(23.72192298475405), 'apogee_altitude': np.float64(3085.588734968193), 'apogee_x': np.float64(360.7186599216886), 'apogee_y': np.float64(157.03968961110604), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5247140687270202), 'out_of_rail_static_margin': np.float64(1.5658733312980213), 'out_of_rail_stability_margin': np.float64(1.5687412361584148), 'execution_time': 4.890625}

{'out_of_rail_time': 0.3527881928296569, 'out_of_rail_velocity': np.float64(33.644256840113655), 'max_velocity': np.float64(302.8905238908201), 'apogee_time': np.float64(23.481823028441504), 'apogee_altitude': np.float64(3044.730379822862), 'apogee_x': np.float64(103.85894841879606), 'apogee_y': np.float64(145.24497126814455), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5036060994816924), 'out_of_rail_static_margin': np.float64(1.5435197693139797), 'out_of_rail_stability_margin': np.float64(1.5465654281587946), 'execution_time': 4.59375}

{'out_of_rail_time': 0.35338222031572675, 'out_of_rail_velocity': np.float64(33.5783249690844), 'max_velocity': np.float64(302.8148394073884), 'apogee_time': np.float64(23.58005566784132), 'apogee_altitude': np.float64(3057.7276731973166), 'apogee_x': np.float64(334.6778136574388), 'apogee_y': np.float64(128.56235605522212), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5481417832293052), 'out_of_rail_static_margin': np.float64(1.5893941718904858), 'out_of_rail_stability_margin': np.float64(1.592333306586661), 'execution_time': 4.578125}

{'out_of_rail_time': 0.3519824616868263, 'out_of_rail_velocity': np.float64(33.740121488692076), 'max_velocity': np.float64(303.89724313613243), 'apogee_time': np.float64(23.506425892448817), 'apogee_altitude': np.float64(3054.7772457300784), 'apogee_x': np.float64(88.81522083051455), 'apogee_y': np.float64(149.99815527700915), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4715731064385127), 'out_of_rail_static_margin': np.float64(1.5099850699739783), 'out_of_rail_stability_margin': np.float64(1.513045250030464), 'execution_time': 4.734375}

{'out_of_rail_time': 0.3537715360671375, 'out_of_rail_velocity': np.float64(33.53158269783214), 'max_velocity': np.float64(301.8343997056866), 'apogee_time': np.float64(23.354050319792577), 'apogee_altitude': np.float64(3012.2838070639905), 'apogee_x': np.float64(224.02405572857046), 'apogee_y': np.float64(133.6416877311521), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5532482858529255), 'out_of_rail_static_margin': np.float64(1.596051213757471), 'out_of_rail_stability_margin': np.float64(1.599081870753138), 'execution_time': 4.84375}

{'out_of_rail_time': 0.35332050605756216, 'out_of_rail_velocity': np.float64(33.58935930709861), 'max_velocity': np.float64(302.74137882306763), 'apogee_time': np.float64(23.51630210774801), 'apogee_altitude': np.float64(3042.3445234459655), 'apogee_x': np.float64(382.79429844294725), 'apogee_y': np.float64(174.7027312724928), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5262410915287175), 'out_of_rail_static_margin': np.float64(1.5671581643314758), 'out_of_rail_stability_margin': np.float64(1.5701136619718916), 'execution_time': 5.359375}

{'out_of_rail_time': 0.35369855197331557, 'out_of_rail_velocity': np.float64(33.541306098338865), 'max_velocity': np.float64(301.81720194568385), 'apogee_time': np.float64(23.427881471440106), 'apogee_altitude': np.float64(3018.6937100799437), 'apogee_x': np.float64(432.431284628344), 'apogee_y': np.float64(156.9120326949918), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5335845835497304), 'out_of_rail_static_margin': np.float64(1.5746032772558696), 'out_of_rail_stability_margin': np.float64(1.5775608118252464), 'execution_time': 5.5625}
Completed 1 iterations successfully. Total CPU time: 0.140625 s. Total wall time: 10.023518800735474 s
