

{'out_of_rail_time': 0.21982854553038808, 'out_of_rail_velocity': 47.96211352924677, 'max_velocity': 330.8304942777202, 'apogee_time': 19.782251051930295, 'apogee_altitude': 2523.4591864911476, 'apogee_x': 147.59519679997968, 'apogee_y': -87.87134241155408, 'impact_time': 209.41379571706491, 'impact_x': 594.6648784369729, 'impact_y': 414.85063281287796, 'impact_velocity': -3.882116851511193, 'initial_static_margin': 1.5038038503600768, 'out_of_rail_static_margin': 1.5431018853432779, 'out_of_rail_stability_margin': 1.5497041732156982, 'final_static_margin': 1.8655030046796817, 'number_of_events': 2, 'execution_time': 7.171875, 'drogue_triggerTime': 19.79, 'drogue_inflated_time': 19.79, 'drogue_inflated_velocity': 6.067690355707086}
{'out_of_rail_time': 0.19270728006040402, 'out_of_rail_velocity': 54.769235857343936, 'max_velocity': 352.7032992516056, 'apogee_time': 20.22283213256918, 'apogee_altitude': 2645.7974571842115, 'apogee_x': 131.90337163868185, 'apogee_y': -71.50155847094355, 'impact_time': 205.89817501340306, 'impact_x': 512.4614696177034, 'impact_y': 414.03920534414465, 'impact_velocity': -4.1270208207619525, 'initial_static_margin': 1.4986123591131066, 'out_of_rail_static_margin': 1.5424466510786978, 'out_of_rail_stability_margin': 1.5507516819566811, 'final_static_margin': 1.8537344440287145, 'number_of_events': 2, 'execution_time': 8.359375, 'drogue_triggerTime': 20.23, 'drogue_inflated_time': 20.23, 'drogue_inflated_velocity': 5.261801512813504}
{'out_of_rail_time': 0.2175275480614276, 'out_of_rail_velocity': 48.569522762003054, 'max_velocity': 340.6081393360501, 'apogee_time': 20.62794034396366, 'apogee_altitude': 2711.519194108387, 'apogee_x': 39.11620735917273, 'apogee_y': -92.85657079129469, 'impact_time': 209.1876821781463, 'impact_x': 862.6477753475772, 'impact_y': 328.5026499146685, 'impact_velocity': -4.047513797315772, 'initial_static_margin': 1.6056562664243526, 'out_of_rail_static_margin': 1.6459944514723266, 'out_of_rail_stability_margin': 1.6521412193788823, 'final_static_margin': 1.9709596456606822, 'number_of_events': 2, 'execution_time': 7.34375, 'drogue_triggerTime': 20.63, 'drogue_inflated_time': 20.63, 'drogue_inflated_velocity': 3.556369797243396}
{'out_of_rail_time': 0.21861936771927004, 'out_of_rail_velocity': 48.22460426995316, 'max_velocity': 345.7230752311628, 'apogee_time': 21.13371032984889, 'apogee_altitude': 2831.918099146676, 'apogee_x': 98.94775397073701, 'apogee_y': 0.939630777606839, 'impact_time': 209.2160920477968, 'impact_x': 427.13135711674903, 'impact_y': 5.548171145433384, 'impact_velocity': -4.136508504619196, 'initial_static_margin': 1.6676993787308327, 'out_of_rail_static_margin': 1.7059264847990572, 'out_of_rail_stability_margin': 1.7115227876757995, 'final_static_margin': 2.0158229003595745, 'number_of_events': 2, 'execution_time': 6.640625, 'drogue_triggerTime': 21.14, 'drogue_inflated_time': 21.14, 'drogue_inflated_velocity': 3.7499515202338305}
{'out_of_rail_time': 0.22438870379090625, 'out_of_rail_velocity': 46.99810880099188, 'max_velocity': 335.26935873057823, 'apogee_time': 20.507702916160692, 'apogee_altitude': 2678.982908354366, 'apogee_x': 22.899500993801755, 'apogee_y': -53.604638733541265, 'impact_time': 210.0839724382875, 'impact_x': 416.690139301965, 'impact_y': 220.49838975814174, 'impact_velocity': -4.007726230967982, 'initial_static_margin': 1.571834605165893, 'out_of_rail_static_margin': 1.6114062215080032, 'out_of_rail_stability_margin': 1.6172263601269583, 'final_static_margin': 1.941108191753127, 'number_of_events': 2, 'execution_time': 5.40625, 'drogue_triggerTime': 20.51, 'drogue_inflated_time': 20.51, 'drogue_inflated_velocity': 1.9218145569394127}

{'out_of_rail_time': 0.20276205170926062, 'out_of_rail_velocity': 52.12530928651564, 'max_velocity': 348.61030996620207, 'apogee_time': 20.52953115799344, 'apogee_altitude': 2703.0747633593187, 'apogee_x': 65.69320660513846, 'apogee_y': -90.11358771518636, 'impact_time': 205.15233901535274, 'impact_x': 459.85830938693897, 'impact_y': 395.32523456804887, 'impact_velocity': -4.092077228095394, 'initial_static_margin': 1.6090490054554822, 'out_of_rail_static_margin': 1.6513820150473464, 'out_of_rail_stability_margin': 1.658635884712603, 'final_static_margin': 1.968101625492565, 'number_of_events': 2, 'execution_time': 6.640625, 'drogue_triggerTime': 20.53, 'drogue_inflated_time': 20.53, 'drogue_inflated_velocity': 3.5345351463843464}
{'out_of_rail_time': 0.22208989795262077, 'out_of_rail_velocity': 47.50589403224371, 'max_velocity': 333.0464873136075, 'apogee_time': 20.28348062884356, 'apogee_altitude': 2621.5568401881987, 'apogee_x': 12.749095250668484, 'apogee_y': -144.81879771879704, 'impact_time': 212.28266655808125, 'impact_x': 496.35487133357276, 'impact_y': 583.8088215783708, 'impact_velocity': -3.884728977642264, 'initial_static_margin': 1.70053880929662, 'out_of_rail_static_margin': 1.7397663128309968, 'out_of_rail_stability_margin': 1.7459737588215922, 'final_static_margin': 2.063206536099139, 'number_of_events': 2, 'execution_time': 7.203125, 'drogue_triggerTime': 20.29, 'drogue_inflated_time': 20.29, 'drogue_inflated_velocity': 3.7469515470660233}
{'out_of_rail_time': 0.20857497002372594, 'out_of_rail_velocity': 50.61509663638881, 'max_velocity': 345.3327179094641, 'apogee_time': 20.44298182434823, 'apogee_altitude': 2685.5295557307554, 'apogee_x': 42.49132123688526, 'apogee_y': -82.52797270661446, 'impact_time': 208.10203212108388, 'impact_x': 495.0099936795078, 'impact_y': 370.19375461932657, 'impact_velocity': -4.044379560751953, 'initial_static_margin': 1.5928938931208625, 'out_of_rail_static_margin': 1.6331448093687717, 'out_of_rail_stability_margin': 1.6398687717632807, 'final_static_margin': 1.9446546594761873, 'number_of_events': 2, 'execution_time': 6.34375, 'drogue_triggerTime': 20.45, 'drogue_inflated_time': 20.45, 'drogue_inflated_velocity': 2.8978912399253813}
