  205.00,  11775.17,    -44.92,    -66.64,    260.00,     94.00
  204.00,  11807.67,    -44.70,    -66.70,  -9999.00,  -9999.00
  200.00,  11940.00,    -44.70,    -66.70,    255.00,     85.01
  192.00,  12206.77,    -46.35,    -68.91,    250.00,     88.00
  190.00,  12275.20,    -46.77,    -69.48,    245.00,     86.00
  185.00,  12449.48,    -47.84,    -70.93,    245.00,     90.00
  181.00,  12592.33,    -48.72,    -72.11,    250.00,     89.01
  169.00,  13040.61,    -51.49,    -75.83,    255.00,     91.01
  166.00,  13157.66,    -52.21,    -76.80,    255.00,     94.00
  150.00,  13820.00,    -56.30,    -82.30,    245.00,     75.99
  149.00,  13862.20,    -56.60,    -82.60,    245.00,     75.99
  144.00,  14077.54,    -58.15,    -84.15,    240.00,     77.99
  141.00,  14210.36,    -59.10,    -85.10,  -9999.00,  -9999.00
  133.00,  14574.41,    -61.23,    -88.11,    255.00,     86.00
  132.00,  14621.45,    -61.50,    -88.50,  -9999.00,  -9999.00
  131.00,  14668.31,    -61.73,    -88.83,    255.00,     85.01
  127.00,  14859.40,    -62.68,    -90.17,    245.00,     79.99
  122.00,  15106.92,    -63.90,    -91.90,    235.00,     85.01
  121.00,  15157.35,    -63.90,    -91.90,    235.00,     87.01
  120.00,  15208.20,    -63.90,    -91.90,  -9999.00,  -9999.00
  117.00,  15363.40,    -63.70,    -91.70,    245.00,     93.01
  115.00,  15469.09,    -63.90,    -91.90,  -9999.00,  -9999.00
  112.00,  15631.21,    -63.50,    -91.50,  -9999.00,  -9999.00
  109.00,  15797.73,    -63.90,    -91.90,    250.00,     84.00
  108.00,  15854.36,    -63.50,    -91.83,    245.00,     85.01
  107.00,  15911.52,    -63.10,    -91.77,    250.00,     85.01
  106.00,  15969.22,    -62.70,    -91.70,  -9999.00,  -9999.00
  104.00,  16086.93,    -61.50,    -90.50,    255.00,     75.99
  100.00,  16330.00,    -61.50,    -90.50,    250.00,     77.99
   97.40,  16494.46,    -59.70,    -89.70,  -9999.00,  -9999.00
   95.00,  16651.16,    -58.93,    -87.97,    250.00,     63.00
   94.90,  16657.78,    -58.90,    -87.90,  -9999.00,  -9999.00
   92.20,  16834.66,    -60.02,    -88.72,    250.00,     66.01
   92.00,  16847.96,    -60.10,    -88.78,    250.00,     66.01
   86.00,  17261.25,    -62.72,    -90.70,    255.00,     47.01
   79.00,  17781.53,    -66.01,    -93.11,    250.00,     31.99
   76.00,  18018.78,    -67.51,    -94.21,    260.00,     25.00
   75.00,  18099.95,    -68.03,    -94.58,    260.00,     24.01
   72.00,  18350.11,    -69.61,    -95.74,    255.00,     24.01
   71.10,  18427.20,    -70.10,    -96.10,  -9999.00,  -9999.00
   71.00,  18435.57,    -70.17,    -96.17,    255.00,     27.00
   70.00,  18520.00,    -70.90,    -96.90,    255.00,     25.99
   68.70,  18630.73,    -71.30,    -97.30,  -9999.00,  -9999.00
   68.00,  18691.68,    -70.49,    -96.73,    250.00,     25.00
   65.80,  18887.39,    -67.90,    -94.90,  -9999.00,  -9999.00
   65.00,  18960.82,    -67.75,    -94.75,    275.00,     29.00
   64.70,  18988.60,    -67.70,    -94.70,  -9999.00,  -9999.00
   63.00,  19148.99,    -67.19,    -94.19,    280.00,     27.00
   62.00,  19245.38,    -66.88,    -93.88,    275.00,     25.99
   60.80,  19363.11,    -66.50,    -93.50,  -9999.00,  -9999.00
   60.00,  19442.82,    -66.92,    -93.66,    280.00,     17.00
   57.80,  19667.63,    -68.10,    -94.10,  -9999.00,  -9999.00
   57.00,  19751.02,    -68.59,    -94.59,    275.00,     21.00
   56.50,  19803.73,    -68.90,    -94.90,  -9999.00,  -9999.00
   56.00,  19857.07,    -68.60,    -94.90,    270.00,     21.00
   54.00,  20075.29,    -67.40,    -94.90,    290.00,     16.01
   53.20,  20164.85,    -66.90,    -94.90,  -9999.00,  -9999.00
   50.00,  20540.00,    -65.70,    -93.70,    320.00,     24.01
